store,app_id,app_name,developer_name,risk_score,risk_classification,suspicious_factors,recommendation,developer_id,rating,reviews,risk_factors,developer_website,developer_email,privacy_policy,installs,developer_address
play_store,com.google.android.apps.photos,Google Photos,Google LLC,4.5,Medium Risk - Exercise Caution,"['suspicious_description', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,5700313618786177705,4.4411197,1314467,"{'suspicious_description': 2.0, 'similar_to_popular': 2.5}",https://support.google.com/photos,asxvmprobertest@gmail.com,http://www.google.com/policies/privacy,"10,000,000,000+",
play_store,com.google.android.apps.docs.editors.docs,Google Docs,Google LLC,4.5,Medium Risk - Exercise Caution,"['suspicious_description', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,5700313618786177705,4.1397867,72439,"{'suspicious_description': 2.0, 'similar_to_popular': 2.5}",https://support.google.com/docs/?p=android_docs_help,asxvmprobertest@gmail.com,http://www.google.com/policies/privacy,"1,000,000,000+",
app_store,1150085200,Google Family Link,Google,4.5,Medium Risk - Exercise Caution,"['suspicious_description', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,281956209,4.659,234610,"{'suspicious_description': 2.0, 'similar_to_popular': 2.5}",http://families.google.com/familylink,,https://apps.apple.com/us/app/google-family-link/id1150085200?uo=4,,
app_store,1413936031,Google Fi Wireless,Google,4.5,Medium Risk - Exercise Caution,"['suspicious_description', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,281956209,4.42866,19948,"{'suspicious_description': 2.0, 'similar_to_popular': 2.5}",,,https://apps.apple.com/us/app/google-fi-wireless/id1413936031?uo=4,,
app_store,454390333,Contacts Sync: Google & More,Playa Apps,4.5,Medium Risk - Exercise Caution,"['suspicious_description', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,449814913,4.60315,13597,"{'suspicious_description': 2.0, 'similar_to_popular': 2.5}",https://contactssync.com/,,https://apps.apple.com/us/app/contacts-sync-google-more/id454390333?uo=4,,
app_store,842842640,Google Docs,Google,4.5,Medium Risk - Exercise Caution,"['suspicious_description', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,281956209,4.78376,2589779,"{'suspicious_description': 2.0, 'similar_to_popular': 2.5}",http://www.google.com/docs/about/,,https://apps.apple.com/us/app/google-docs/id842842640?uo=4,,
play_store,com.google.android.apps.tycho,Google Fi Wireless,Google LLC,4.5,Medium Risk - Exercise Caution,"['suspicious_description', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,5700313618786177705,4.0916014,13904,"{'suspicious_description': 2.0, 'similar_to_popular': 2.5}",http://www.google.com/fi,,https://fi.google.com/about/privacy,"10,000,000+",
app_store,6470381988,Forms fоr Google Form,Sanpeliano LTD,4.5,Medium Risk - Exercise Caution,"['suspicious_description', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,1713571036,4.70709,2069,"{'suspicious_description': 2.0, 'similar_to_popular': 2.5}",https://n879d1c27.app-ads-txt.com,,https://apps.apple.com/us/app/forms-f%D0%BEr-google-form/id6470381988?uo=4,,
app_store,1193040759,VR Water Slide for Google Cardboard,VR Games,4.0,Medium Risk - Exercise Caution,"['low_rating', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,1190514647,1.9082,512,"{'low_rating': 1.5, 'similar_to_popular': 2.5}",,,https://apps.apple.com/us/app/vr-water-slide-for-google-cardboard/id1193040759?uo=4,,
app_store,368305725,G-Whizz! Plus for Google Apps - The #1 Apps Browser,Richard A Bloomfield Jr.,4.0,Medium Risk - Exercise Caution,"['few_reviews', 'similar_to_popular']",Proceed with caution. This app shows some suspicious characteristics that warrant careful consideration.,560245131,3.61364,44,"{'few_reviews': 1.5, 'similar_to_popular': 2.5}",https://www.facebook.com/GWhizzApps,,https://apps.apple.com/us/app/g-whizz-plus-for-google-apps-the-1-apps-browser/id368305725?uo=4,,
